a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
5	94
5.02	91
5.04	72
5.06	65
5.08	79
5.1	79
5.12	77
5.14	76
5.16	89
5.18	72
5.2	67
5.22	79
5.24	75
5.26	73
5.28	65
5.3	70
5.32	78
5.34	72
5.36	81
5.38	60
5.4	72
5.42	71
5.44	76
5.46	69
5.48	71
5.5	65
5.52	81
5.54	66
5.56	69
5.58	71
5.6	71
5.62	65
5.64	78
5.66	64
5.68	58
5.7	68
5.72	70
5.74	75
5.76	63
5.78	61
5.8	65
5.82	73
5.84	57
5.86	68
5.88	54
5.9	67
5.92	84
5.94	67
5.96	68
5.98	51
6	67
6.02	66
6.04	67
6.06	77
6.08	69
6.1	62
6.12	57
6.14	68
6.16	57
6.18	64
6.2	60
6.22	60
6.24	59
6.26	50
6.28	60
6.3	55
6.32	68
6.34	56
6.36	64
6.38	58
6.4	55
6.42	66
6.44	63
6.46	63
6.48	69
6.5	62
6.52	55
6.54	53
6.56	62
6.58	59
6.6	57
6.62	72
6.64	56
6.66	54
6.68	62
6.7	70
6.72	69
6.74	50
6.76	62
6.78	61
6.8	62
6.82	55
6.84	66
6.86	48
6.88	51
6.9	64
6.92	47
6.94	57
6.96	50
6.98	50
7	46
7.02	70
7.04	53
7.06	52
7.08	52
7.1	65
7.12	55
7.14	59
7.16	51
7.18	55
7.2	57
7.22	50
7.24	63
7.26	59
7.28	32
7.3	53
7.32	47
7.34	57
7.36	57
7.38	50
7.4	74
7.42	45
7.44	54
7.46	63
7.48	60
7.5	54
7.52	55
7.54	52
7.56	57
7.58	76
7.6	56
7.62	62
7.64	57
7.66	61
7.68	60
7.7	63
7.72	54
7.74	61
7.76	55
7.78	56
7.8	58
7.82	65
7.84	52
7.86	67
7.88	58
7.9	56
7.92	55
7.94	53
7.96	55
7.98	55
8	67
8.02	59
8.04	48
8.06	53
8.08	56
8.1	56
8.12	58
8.14	63
8.16	58
8.18	54
8.2	49
8.22	67
8.24	68
8.26	57
8.28	57
8.3	58
8.32	51
8.34	58
8.36	53
8.38	47
8.4	49
8.42	58
8.44	53
8.46	59
8.48	56
8.5	61
8.52	46
8.54	44
8.56	54
8.58	59
8.6	54
8.62	55
8.64	60
8.66	59
8.68	49
8.7	60
8.72	61
8.74	47
8.76	49
8.78	44
8.8	44
8.82	47
8.84	73
8.86	69
8.88	62
8.9	63
8.92	75
8.94	51
8.96	52
8.98	54
9	50
9.02	64
9.04	75
9.06	75
9.08	78
9.1	80
9.12	58
9.14	66
9.16	61
9.18	81
9.2	71
9.22	77
9.24	84
9.26	95
9.28	142
9.3	179
9.32	249
9.34	273
9.36	244
9.38	225
9.4	191
9.42	328
9.44	521
9.46	620
9.48	735
9.5	741
